FRENCH,ENGLISH
nie ,nie
ek ,ek
is ,is
het ,het
jy ,jy
n ,not
dit ,said
my ,my
en ,in
ons ,ons
wat ,wat
jou ,yoke
van ,van
in ,in
te ,you
hy ,hy-
vir ,vir
sy ,sy
maar ,maar
gaan ,gaan
sal ,salt
kan ,kan
om ,OM
dis ,say
so,so
u ,U
met ,put
dat ,dat
hulle ,hulle
as ,AS
was ,wast
ja ,JA
kom ,kom
moet ,moet
nou ,none
hier ,yesterday
daar ,daar
op ,op
wil ,Wil
na ,n / A
hom ,hom
weet ,weet
haar ,haar
aan ,aan
wees ,wees
net ,net
nee ,born
doen ,doen
nog,nog
goed ,goed
dan ,dan
hoe ,hoe
ook ,ook
word ,Word
s ,s
sien ,his
julle ,jullea
laat ,Laat
by ,by
al,Al
se ,se
baie ,bay
hierdie ,hierdie
hierdie ,hierdie
soos ,soos
maak ,maak
dink ,dink
of ,of
toe ,toe
waar ,waar
oor ,oor
alles ,alles
een ,een
niks ,niks